COUNTRY,Region,Population,Area sq. mi.,Pop. Density
AFGHANISTAN,ASIA (EX. NEAR EAST)         ,31056997,647500,47.96
ALBANIA,EASTERN EUROPE                     ,3581655,28748,124.59
ALGERIA,NORTHERN AFRICA                    ,32930091,2381740,13.83
AMERICAN SAMOA,OCEANIA                            ,57794,199,290.42
ANDORRA,WESTERN EUROPE                     ,71201,468,152.14
ANGOLA,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.73
ANGUILLA,LATIN AMER. & CARIB    ,13477,102,132.13
ANTIGUA & BARBUDA,LATIN AMER. & CARIB    ,69108,443,156
ARGENTINA,LATIN AMER. & CARIB    ,39921833,2766890,14.43
ARMENIA,C.W. OF IND. STATES ,2976372,29800,99.88
ARUBA,LATIN AMER. & CARIB    ,71891,193,372.49
AUSTRALIA,OCEANIA                            ,20264082,7686850,2.64
AUSTRIA,WESTERN EUROPE                     ,8192880,83870,97.69
AZERBAIJAN,C.W. OF IND. STATES ,7961619,86600,91.94
"BAHAMAS, THE",LATIN AMER. & CARIB    ,303770,13940,21.79
BAHRAIN,NEAR EAST                          ,698585,665,1050.5
BANGLADESH,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.37
BARBADOS,LATIN AMER. & CARIB    ,279912,431,649.45
BELARUS,C.W. OF IND. STATES ,10293011,207600,49.58
BELGIUM,WESTERN EUROPE                     ,10379067,30528,339.99
BELIZE,LATIN AMER. & CARIB    ,287730,22966,12.53
BENIN,SUB-SAHARAN AFRICA                 ,7862944,112620,69.82
BERMUDA,NORTHERN AMERICA                   ,65773,53,1241
BHUTAN,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5
BOLIVIA,LATIN AMER. & CARIB    ,8989046,1098580,8.18
BOSNIA & HERZEGOVINA,EASTERN EUROPE                     ,4498976,51129,87.99
BOTSWANA,SUB-SAHARAN AFRICA                 ,1639833,600370,2.73
BRAZIL,LATIN AMER. & CARIB    ,188078227,8511965,22.1
BRITISH VIRGIN IS.,LATIN AMER. & CARIB    ,23098,153,150.97
BRUNEI,ASIA (EX. NEAR EAST)         ,379444,5770,65.76
BULGARIA,EASTERN EUROPE                     ,7385367,110910,66.59
BURKINA FASO,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7
BURMA,ASIA (EX. NEAR EAST)         ,47382633,678500,69.83
BURUNDI,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7
CAMBODIA,ASIA (EX. NEAR EAST)         ,13881427,181040,76.68
CAMEROON,SUB-SAHARAN AFRICA                 ,17340702,475440,36.47
CANADA,NORTHERN AMERICA                   ,33098932,9984670,3.31
CAPE VERDE,SUB-SAHARAN AFRICA                 ,420979,4033,104.38
CAYMAN ISLANDS,LATIN AMER. & CARIB    ,45436,262,173.42
CENTRAL AFRICAN REP.,SUB-SAHARAN AFRICA                 ,4303356,622984,6.91
CHAD,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.74
CHILE,LATIN AMER. & CARIB    ,16134219,756950,21.31
CHINA,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.92
COLOMBIA,LATIN AMER. & CARIB    ,43593035,1138910,38.28
COMOROS,SUB-SAHARAN AFRICA                 ,690948,2170,318.41
"CONGO, DEM. REP.",SUB-SAHARAN AFRICA                 ,62660551,2345410,26.72
"CONGO, REPUB. OF THE",SUB-SAHARAN AFRICA                 ,3702314,342000,10.83
COOK ISLANDS,OCEANIA                            ,21388,240,89.12
COSTA RICA,LATIN AMER. & CARIB    ,4075261,51100,79.75
COTE D'IVOIRE,SUB-SAHARAN AFRICA                 ,17654843,322460,54.75
CROATIA,EASTERN EUROPE                     ,4494749,56542,79.49
CUBA,LATIN AMER. & CARIB    ,11382820,110860,102.68
CYPRUS,NEAR EAST                          ,784301,9250,84.79
CZECH REPUBLIC,EASTERN EUROPE                     ,10235455,78866,129.78
DENMARK,WESTERN EUROPE                     ,5450661,43094,126.48
DJIBOUTI,SUB-SAHARAN AFRICA                 ,486530,23000,21.15
DOMINICA,LATIN AMER. & CARIB    ,68910,754,91.39
DOMINICAN REPUBLIC,LATIN AMER. & CARIB    ,9183984,48730,188.47
EAST TIMOR,ASIA (EX. NEAR EAST)         ,1062777,15007,70.82
ECUADOR,LATIN AMER. & CARIB    ,13547510,283560,47.78
EGYPT,NORTHERN AFRICA                    ,78887007,1001450,78.77
EL SALVADOR,LATIN AMER. & CARIB    ,6822378,21040,324.26
EQUATORIAL GUINEA,SUB-SAHARAN AFRICA                 ,540109,28051,19.25
ERITREA,SUB-SAHARAN AFRICA                 ,4786994,121320,39.46
ESTONIA,BALTICS                            ,1324333,45226,29.28
ETHIOPIA,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.34
FAROE ISLANDS,WESTERN EUROPE                     ,47246,1399,33.77
FIJI,OCEANIA                            ,905949,18270,49.59
FINLAND,WESTERN EUROPE                     ,5231372,338145,15.47
FRANCE,WESTERN EUROPE                     ,60876136,547030,111.28
FRENCH GUIANA,LATIN AMER. & CARIB    ,199509,91000,2.19
FRENCH POLYNESIA,OCEANIA                            ,274578,4167,65.89
GABON,SUB-SAHARAN AFRICA                 ,1424906,267667,5.32
"GAMBIA, THE",SUB-SAHARAN AFRICA                 ,1641564,11300,145.27
GAZA STRIP,NEAR EAST                          ,1428757,360,3968.77
GEORGIA,C.W. OF IND. STATES ,4661473,69700,66.88
GERMANY,WESTERN EUROPE                     ,82422299,357021,230.86
GHANA,SUB-SAHARAN AFRICA                 ,22409572,239460,93.58
GIBRALTAR,WESTERN EUROPE                     ,27928,7,3989.71
GREECE,WESTERN EUROPE                     ,10688058,131940,81.01
GREENLAND,NORTHERN AMERICA                   ,56361,2166086,0.03
GRENADA,LATIN AMER. & CARIB    ,89703,344,260.76
GUADELOUPE,LATIN AMER. & CARIB    ,452776,1780,254.37
GUAM,OCEANIA                            ,171019,541,316.12
GUATEMALA,LATIN AMER. & CARIB    ,12293545,108890,112.9
GUERNSEY,WESTERN EUROPE                     ,65409,78,838.58
GUINEA,SUB-SAHARAN AFRICA                 ,9690222,245857,39.41
GUINEA-BISSAU,SUB-SAHARAN AFRICA                 ,1442029,36120,39.92
GUYANA,LATIN AMER. & CARIB    ,767245,214970,3.57
HAITI,LATIN AMER. & CARIB    ,8308504,27750,299.41
HONDURAS,LATIN AMER. & CARIB    ,7326496,112090,65.36
HONG KONG,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.71
HUNGARY,EASTERN EUROPE                     ,9981334,93030,107.29
ICELAND,WESTERN EUROPE                     ,299388,103000,2.91
INDIA,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.18
INDONESIA,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.88
IRAN,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.68
IRAQ,NEAR EAST                          ,26783383,437072,61.28
IRELAND,WESTERN EUROPE                     ,4062235,70280,57.8
ISLE OF MAN,WESTERN EUROPE                     ,75441,572,131.89
ISRAEL,NEAR EAST                          ,6352117,20770,305.83
ITALY,WESTERN EUROPE                     ,58133509,301230,192.99
JAMAICA,LATIN AMER. & CARIB    ,2758124,10991,250.94
JAPAN,ASIA (EX. NEAR EAST)         ,127463611,377835,337.35
JERSEY,WESTERN EUROPE                     ,91084,116,785.21
JORDAN,NEAR EAST                          ,5906760,92300,64
KAZAKHSTAN,C.W. OF IND. STATES ,15233244,2717300,5.61
KENYA,SUB-SAHARAN AFRICA                 ,34707817,582650,59.57
KIRIBATI,OCEANIA                            ,105432,811,130
"KOREA, NORTH",ASIA (EX. NEAR EAST)         ,23113019,120540,191.75
"KOREA, SOUTH",ASIA (EX. NEAR EAST)         ,48846823,98480,496.01
KUWAIT,NEAR EAST                          ,2418393,17820,135.71
KYRGYZSTAN,C.W. OF IND. STATES ,5213898,198500,26.27
LAOS,ASIA (EX. NEAR EAST)         ,6368481,236800,26.89
LATVIA,BALTICS                            ,2274735,64589,35.22
LEBANON,NEAR EAST                          ,3874050,10400,372.5
LESOTHO,SUB-SAHARAN AFRICA                 ,2022331,30355,66.62
LIBERIA,SUB-SAHARAN AFRICA                 ,3042004,111370,27.31
LIBYA,NORTHERN AFRICA                    ,5900754,1759540,3.35
LIECHTENSTEIN,WESTERN EUROPE                     ,33987,160,212.42
LITHUANIA,BALTICS                            ,3585906,65200,55
LUXEMBOURG,WESTERN EUROPE                     ,474413,2586,183.45
MACAU,ASIA (EX. NEAR EAST)         ,453125,28,16183.04
MACEDONIA,EASTERN EUROPE                     ,2050554,25333,80.94
MADAGASCAR,SUB-SAHARAN AFRICA                 ,18595469,587040,31.68
MALAWI,SUB-SAHARAN AFRICA                 ,13013926,118480,109.84
MALAYSIA,ASIA (EX. NEAR EAST)         ,24385858,329750,73.95
MALDIVES,ASIA (EX. NEAR EAST)         ,359008,300,1196.69
MALI,SUB-SAHARAN AFRICA                 ,11716829,1240000,9.45
MALTA,WESTERN EUROPE                     ,400214,316,1266.5
MARSHALL ISLANDS,OCEANIA                            ,60422,11854,5.1
MARTINIQUE,LATIN AMER. & CARIB    ,436131,1100,396.48
MAURITANIA,SUB-SAHARAN AFRICA                 ,3177388,1030700,3.08
MAURITIUS,SUB-SAHARAN AFRICA                 ,1240827,2040,608.25
MAYOTTE,SUB-SAHARAN AFRICA                 ,201234,374,538.06
MEXICO,LATIN AMER. & CARIB    ,107449525,1972550,54.47
"MICRONESIA, FED. ST.",OCEANIA                            ,108004,702,153.85
MOLDOVA,C.W. OF IND. STATES ,4466706,33843,131.98
MONACO,WESTERN EUROPE                     ,32543,2,16271.5
MONGOLIA,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.81
MONTSERRAT,LATIN AMER. & CARIB    ,9439,102,92.54
MOROCCO,NORTHERN AFRICA                    ,33241259,446550,74.44
MOZAMBIQUE,SUB-SAHARAN AFRICA                 ,19686505,801590,24.56
NAMIBIA,SUB-SAHARAN AFRICA                 ,2044147,825418,2.48
NAURU,OCEANIA                            ,13287,21,632.71
NEPAL,ASIA (EX. NEAR EAST)         ,28287147,147181,192.19
NETHERLANDS,WESTERN EUROPE                     ,16491461,41526,397.14
NETHERLANDS ANTILLES,LATIN AMER. & CARIB    ,221736,960,230.98
NEW CALEDONIA,OCEANIA                            ,219246,19060,11.5
NEW ZEALAND,OCEANIA                            ,4076140,268680,15.17
NICARAGUA,LATIN AMER. & CARIB    ,5570129,129494,43.01
NIGER,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.89
NIGERIA,SUB-SAHARAN AFRICA                 ,131859731,923768,142.74
N. MARIANA ISLANDS,OCEANIA                            ,82459,477,172.87
NORWAY,WESTERN EUROPE                     ,4610820,323802,14.24
OMAN,NEAR EAST                          ,3102229,212460,14.6
PAKISTAN,ASIA (EX. NEAR EAST)         ,165803560,803940,206.24
PALAU,OCEANIA                            ,20579,458,44.93
PANAMA,LATIN AMER. & CARIB    ,3191319,78200,40.81
PAPUA NEW GUINEA,OCEANIA                            ,5670544,462840,12.25
PARAGUAY,LATIN AMER. & CARIB    ,6506464,406750,16
PERU,LATIN AMER. & CARIB    ,28302603,1285220,22.02
PHILIPPINES,ASIA (EX. NEAR EAST)         ,89468677,300000,298.23
POLAND,EASTERN EUROPE                     ,38536869,312685,123.25
PORTUGAL,WESTERN EUROPE                     ,10605870,92391,114.79
PUERTO RICO,LATIN AMER. & CARIB    ,3927188,13790,284.79
QATAR,NEAR EAST                          ,885359,11437,77.41
REUNION,SUB-SAHARAN AFRICA                 ,787584,2517,312.91
ROMANIA,EASTERN EUROPE                     ,22303552,237500,93.91
RUSSIA,C.W. OF IND. STATES ,142893540,17075200,8.37
RWANDA,SUB-SAHARAN AFRICA                 ,8648248,26338,328.36
SAINT HELENA,SUB-SAHARAN AFRICA                 ,7502,413,18.16
SAINT KITTS & NEVIS,LATIN AMER. & CARIB    ,39129,261,149.92
SAINT LUCIA,LATIN AMER. & CARIB    ,168458,616,273.47
ST PIERRE & MIQUELON,NORTHERN AMERICA                   ,7026,242,29.03
SAINT VINCENT AND THE GRENADINES,LATIN AMER. & CARIB    ,117848,389,302.95
SAMOA,OCEANIA                            ,176908,2944,60.09
SAN MARINO,WESTERN EUROPE                     ,29251,61,479.52
SAO TOME & PRINCIPE,SUB-SAHARAN AFRICA                 ,193413,1001,193.22
SAUDI ARABIA,NEAR EAST                          ,27019731,1960582,13.78
SENEGAL,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1
SERBIA,EASTERN EUROPE                     ,9396411,88361,106.34
SEYCHELLES,SUB-SAHARAN AFRICA                 ,81541,455,179.21
SIERRA LEONE,SUB-SAHARAN AFRICA                 ,6005250,71740,83.71
SINGAPORE,ASIA (EX. NEAR EAST)         ,4492150,693,6482.18
SLOVAKIA,EASTERN EUROPE                     ,5439448,48845,111.36
SLOVENIA,EASTERN EUROPE                     ,2010347,20273,99.16
SOLOMON ISLANDS,OCEANIA                            ,552438,28450,19.42
SOMALIA,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9
SOUTH AFRICA,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.22
SPAIN,WESTERN EUROPE                     ,40397842,504782,80.03
SRI LANKA,ASIA (EX. NEAR EAST)         ,20222240,65610,308.22
SUDAN,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.46
SURINAME,LATIN AMER. & CARIB    ,439117,163270,2.69
SWAZILAND,SUB-SAHARAN AFRICA                 ,1136334,17363,65.45
SWEDEN,WESTERN EUROPE                     ,9016596,449964,20.04
SWITZERLAND,WESTERN EUROPE                     ,7523934,41290,182.22
SYRIA,NEAR EAST                          ,18881361,185180,101.96
TAIWAN,ASIA (EX. NEAR EAST)         ,23036087,35980,640.25
TAJIKISTAN,C.W. OF IND. STATES ,7320815,143100,51.16
TANZANIA,SUB-SAHARAN AFRICA                 ,37445392,945087,39.62
THAILAND,ASIA (EX. NEAR EAST)         ,64631595,514000,125.74
TOGO,SUB-SAHARAN AFRICA                 ,5548702,56785,97.71
TONGA,OCEANIA                            ,114689,748,153.33
TRINIDAD & TOBAGO,LATIN AMER. & CARIB    ,1065842,5128,207.85
TUNISIA,NORTHERN AFRICA                    ,10175014,163610,62.19
TURKEY,NEAR EAST                          ,70413958,780580,90.21
TURKMENISTAN,C.W. OF IND. STATES ,5042920,488100,10.33
TURKS & CAICOS IS,LATIN AMER. & CARIB    ,21152,430,49.19
TUVALU,OCEANIA                            ,11810,26,454.23
UGANDA,SUB-SAHARAN AFRICA                 ,28195754,236040,119.45
UKRAINE,C.W. OF IND. STATES ,46710816,603700,77.37
UNITED ARAB EMIRATES,NEAR EAST                          ,2602713,82880,31.4
UNITED KINGDOM,WESTERN EUROPE                     ,60609153,244820,247.57
UNITED STATES,NORTHERN AMERICA                   ,298444215,9631420,30.99
URUGUAY,LATIN AMER. & CARIB    ,3431932,176220,19.48
UZBEKISTAN,C.W. OF IND. STATES ,27307134,447400,61.04
VANUATU,OCEANIA                            ,208869,12200,17.12
VENEZUELA,LATIN AMER. & CARIB    ,25730435,912050,28.21
VIET NAM,ASIA (EX. NEAR EAST)         ,84402966,329560,256.11
VIRGIN ISLANDS,LATIN AMER. & CARIB    ,108605,1910,56.86
WALLIS AND FUTUNA,OCEANIA                            ,16025,274,58.49
WEST BANK,NEAR EAST                          ,2460492,5860,419.88
WESTERN SAHARA,NORTHERN AFRICA                    ,273008,266000,1.03
YEMEN,NEAR EAST                          ,21456188,527970,40.64
ZAMBIA,SUB-SAHARAN AFRICA                 ,11502010,752614,15.28
ZIMBABWE,SUB-SAHARAN AFRICA                 ,12236805,390580,31.33
